Name,District,Party,Office Room,Phone,Committee1,Committee2,Committee3,Committee4
"Bustos, Cheri",Illinois 17th,D,1009 LHOB,(202) 225-5905,Agriculture,Transportation and Infrastructure,,
"Butterfield, G.K.",North Carolina 1st,D,2080 RHOB,(202) 225-3101,Energy and Commerce,,,
"Byrne, Bradley",Alabama 1st,R,119 CHOB,(202) 225-4931,Armed Services,Education and the Workforce,Rules,
"Calvert, Ken",California 42nd,R,2205 RHOB,(202) 225-1986,Appropriations,,,
"Capuano, Michael E.",Massachusetts 7th,D,1414 LHOB,(202) 225-5111,Financial Services,Transportation and Infrastructure,,
"Carbajal, Salud",California 24th,D,212 CHOB,(202) 225-3601,Armed Services,Budget,,
"Cárdenas, Tony",California 29th,D,1510 LHOB,(202) 225-6131,Energy and Commerce,,,
"Carson, André",Indiana 7th,D,2135 RHOB,(202) 225-4011,Intelligence,Transportation and Infrastructure,,
"Carter, Buddy",Georgia 1st,R,432 CHOB,(202) 225-5831,Energy and Commerce,,,
"Carter, John",Texas 31st,R,2110 RHOB,(202) 225-3864,Appropriations,,,
"Cartwright, Matt",Pennsylvania 17th,D,1034 LHOB,(202) 225-5546,Appropriations,Oversight and Government Reform,,
"Castor, Kathy",Florida 14th,D,2052 RHOB,(202) 225-3376,Energy and Commerce,,,
"Castro, Joaquin",Texas 20th,D,1221 LHOB,(202) 225-3236,Foreign Affairs,Intelligence,,
"Chabot, Steve",Ohio 1st,R,2371 RHOB,(202) 225-2216,Foreign Affairs,Judiciary,Small Business,
"Cheney, Liz",Wyoming At Large,R,416 CHOB,(202) 225-2311,Armed Services,Natural Resources,Rules,
"Chu, Judy",California 27th,D,2423 RHOB,(202) 225-5464,Small Business,Ways and Means,,
"Cicilline, David",Rhode Island 1st,D,2244 RHOB,(202) 225-4911,Foreign Affairs,Judiciary,,
"Clark, Katherine",Massachusetts 5th,D,1415 LHOB,(202) 225-2836,Appropriations,,,
"Clarke, Yvette D.",New York 9th,D,2058 RHOB,(202) 225-6231,Energy and Commerce,Small Business,Ethics,
"Clay Jr., William ""Lacy""",Missouri 1st,D,2428 RHOB,(202) 225-2406,Financial Services,Oversight and Government Reform,Natural Resources,
"Cleaver, Emanuel",Missouri 5th,D,2335 RHOB,(202) 225-4535,Financial Services,,,
"Cloud, Michael",Texas 27th,R,2331 RHOB,(202) 225-7742,Oversight and Government Reform,"Science, Space, and Technology",,
"Clyburn, James E.",South Carolina 6th,D,242 CHOB,(202) 225-3315,,,,
"Coffman, Mike",Colorado 6th,R,2443 RHOB,(202) 225-7882,Armed Services,Veterans' Affairs,,
"Cohen, Steve",Tennessee 9th,D,2404 RHOB,(202) 225-3265,Judiciary,Transportation and Infrastructure,Ethics,
"Cole, Tom",Oklahoma 4th,R,2467 RHOB,(202) 225-6165,Appropriations,Budget,Rules,
"Collins, Chris",New York 27th,R,1117 LHOB,(202) 225-5265,Energy and Commerce,,,
"Collins, Doug",Georgia 9th,R,1504 LHOB,(202) 225-9893,Judiciary,Rules,,
"Comer, James",Kentucky 1st,R,1513 LHOB,(202) 225-3115,Agriculture,Oversight and Government Reform,Small Business,
"Comstock, Barbara",Virginia 10th,R,229 CHOB,(202) 225-5136,House Administration,Transportation and Infrastructure,"Science, Space, and Technology",
"Conaway, K. Michael",Texas 11th,R,2430 RHOB,(202) 225-3605,Agriculture,Armed Services,Intelligence,
"Connolly, Gerald E. ""Gerry""",Virginia 11th,D,2238 RHOB,(202) 225-1492,Foreign Affairs,Oversight and Government Reform,,
"Conyers, John - Vacancy",Michigan 13th,D,2426 RHOB,(202) 225-5126,,,,
"Cook, Paul",California 8th,R,1222 LHOB,(202) 225-5861,Armed Services,Foreign Affairs,Natural Resources,
"Cooper, Jim",Tennessee 5th,D,1536 LHOB,(202) 225-4311,Armed Services,Oversight and Government Reform,,
"Correa, J. Luis",California 46th,D,1039 LHOB,(202) 225-2965,Homeland Security,Veterans' Affairs,,
"Costa, Jim",California 16th,D,2081 RHOB,(202) 225-3341,Agriculture,Natural Resources,,
"Costello, Ryan",Pennsylvania 6th,R,326 CHOB,(202) 225-4315,Energy and Commerce,,,
"Courtney, Joe",Connecticut 2nd,D,2348 RHOB,(202) 225-2076,Armed Services,Education and the Workforce,,
"Cramer, Kevin",North Dakota At Large,R,1717 LHOB,(202) 225-2611,Energy and Commerce,,,
"Crawford, Rick",Arkansas 1st,R,2422 RHOB,(202) 225-4076,Agriculture,Intelligence,Transportation and Infrastructure,
"Crist, Charlie",Florida 13th,D,427 CHOB,(202) 225-5961,Financial Services,"Science, Space, and Technology",,
"Crowley, Joseph",New York 14th,D,1035 LHOB,(202) 225-3965,Ways and Means,,,
"Cuellar, Henry",Texas 28th,D,2209 RHOB,(202) 225-1640,Appropriations,,,
"Culberson, John",Texas 7th,R,2161 RHOB,(202) 225-2571,Appropriations,,,
"Cummings, Elijah",Maryland 7th,D,2163 RHOB,(202) 225-4741,Oversight and Government Reform,Transportation and Infrastructure,,
"Curbelo, Carlos",Florida 26th,R,1404 LHOB,(202) 225-2778,Ways and Means,,,
"Curtis, John R.",Utah 3rd,R,2236 RHOB,(202) 225-7751,Foreign Affairs,Natural Resources,Small Business,
"Davidson, Warren",Ohio 8th,R,1004 LHOB,(202) 225-6205,Financial Services,,,
"Davis, Danny K.",Illinois 7th,D,2159 RHOB,(202) 225-5006,Ways and Means,,,
"Davis, Rodney",Illinois 13th,R,1740 LHOB,(202) 225-2371,Agriculture,House Administration,Transportation and Infrastructure,
"Davis, Susan",California 53rd,D,1214 LHOB,(202) 225-2040,Armed Services,Education and the Workforce,,
"DeFazio, Peter",Oregon 4th,D,2134 RHOB,(202) 225-6416,Transportation and Infrastructure,,,
"DeGette, Diana",Colorado 1st,D,2111 RHOB,(202) 225-4431,Energy and Commerce,,,
"Delaney, John",Maryland 6th,D,1632 LHOB,(202) 225-2721,Financial Services,,,
"DeLauro, Rosa L.",Connecticut 3rd,D,2413 RHOB,(202) 225-3661,Appropriations,,,
"DelBene, Suzan",Washington 1st,D,2442 RHOB,(202) 225-6311,Budget,Ways and Means,,
"Demings, Val",Florida 10th,D,238 CHOB,(202) 225-2176,Homeland Security,Judiciary,,
"Denham, Jeff",California 10th,R,1730 LHOB,(202) 225-4540,Agriculture,Natural Resources,Transportation and Infrastructure,
"Dent, Charles W. - Vacancy",Pennsylvania 15th,R,2082 RHOB,(202) 225-6411,,,,
"DeSantis, Ron",Florida 6th,R,1524 LHOB,(202) 225-2706,Foreign Affairs,Oversight and Government Reform,Judiciary,
"DeSaulnier, Mark",California 11th,D,115 CHOB,(202) 225-2095,Education and the Workforce,Oversight and Government Reform,Transportation and Infrastructure,
"DesJarlais, Scott",Tennessee 4th,R,2301 RHOB,(202) 225-6831,Agriculture,Armed Services,Oversight and Government Reform,
"Deutch, Ted",Florida 22nd,D,2447 RHOB,(202) 225-3001,Foreign Affairs,Judiciary,Ethics,
"Diaz-Balart, Mario",Florida 25th,R,440 CHOB,(202) 225-4211,Appropriations,Budget,,
"Dingell, Debbie",Michigan 12th,D,116 CHOB,(202) 225-4071,Energy and Commerce,Joint Select Committee on Solvency of MPP,,
"Doggett, Lloyd",Texas 35th,D,2307 RHOB,(202) 225-4865,Ways and Means,,,
"Donovan, Daniel",New York 11th,R,1541 LHOB,(202) 225-3371,Foreign Affairs,Homeland Security,,
"Doyle, Mike",Pennsylvania 14th,D,239 CHOB,(202) 225-2135,Energy and Commerce,,,
"Duffy, Sean P.",Wisconsin 7th,R,2330 RHOB,(202) 225-3365,Financial Services,,,
"Duncan, Jeff",South Carolina 3rd,R,2229 RHOB,(202) 225-5301,Energy and Commerce,,,
"Duncan Jr., John J.",Tennessee 2nd,R,2207 RHOB,(202) 225-5435,Oversight and Government Reform,Transportation and Infrastructure,,
"Dunn, Neal",Florida 2nd,R,423 CHOB,(202) 225-5235,Agriculture,"Science, Space, and Technology",Veterans' Affairs,
"Ellison, Keith",Minnesota 5th,D,2263 RHOB,(202) 225-4755,Financial Services,,,
"Emmer, Tom",Minnesota 6th,R,315 CHOB,(202) 225-2331,Financial Services,,,
"Engel, Eliot",New York 16th,D,2462 RHOB,(202) 225-2464,Foreign Affairs,Energy and Commerce,,
"Eshoo, Anna G.",California 18th,D,241 CHOB,(202) 225-8104,Energy and Commerce,,,
"Espaillat, Adriano",New York 13th,D,1630 LHOB,(202) 225-4365,Education and the Workforce,Foreign Affairs,Small Business,
"Estes, Ron",Kansas 4th,R,2452 RHOB,(202) 225-6216,Education and the Workforce,Homeland Security,,
"Esty, Elizabeth",Connecticut 5th,D,221 CHOB,(202) 225-4476,Transportation and Infrastructure,"Science, Space, and Technology",Veterans' Affairs,
"Evans, Dwight",Pennsylvania 2nd,D,1105 LHOB,(202) 225-4001,Agriculture,Small Business,,
"Faso, John",New York 19th,R,1616 LHOB,(202) 225-5614,Agriculture,Budget,Transportation and Infrastructure,
"Ferguson, A. Drew",Georgia 3rd,R,1032 LHOB,(202) 225-5901,Budget,Education and the Workforce,Transportation and Infrastructure,
"Fitzpatrick, Brian",Pennsylvania 8th,R,514 CHOB,(202) 225-4276,Foreign Affairs,Homeland Security,Small Business,
"Fleischmann, Chuck",Tennessee 3rd,R,2410 RHOB,(202) 225-3271,Appropriations,,,
"Flores, Bill",Texas 17th,R,2440 RHOB,(202) 225-6105,Energy and Commerce,Veterans' Affairs,,
"Fortenberry, Jeff",Nebraska 1st,R,1514 LHOB,(202) 225-4806,Appropriations,Joint Committee of Congress on the Library,,
"Foster, Bill",Illinois 11th,D,1224 LHOB,(202) 225-3515,Financial Services,"Science, Space, and Technology",,
"Foxx, Virginia",North Carolina 5th,R,2262 RHOB,(202) 225-2071,Education and the Workforce,Oversight and Government Reform,Joint Select Committee on Solvency of MPP,
"Frankel, Lois",Florida 21st,D,1037 LHOB,(202) 225-9890,Foreign Affairs,Transportation and Infrastructure,,
"Frelinghuysen, Rodney",New Jersey 11th,R,2306 RHOB,(202) 225-5034,Appropriations,,,
"Fudge, Marcia L.",Ohio 11th,D,2344 RHOB,(202) 225-7032,Agriculture,Education and the Workforce,,
"Gabbard, Tulsi",Hawaii 2nd,D,1433 LHOB,(202) 225-4906,Armed Services,Foreign Affairs,,
"Gaetz, Matt",Florida 1st,R,507 CHOB,(202) 225-4136,Armed Services,Budget,Judiciary,
"Gallagher, Mike",Wisconsin 8th,R,1007 LHOB,(202) 225-5665,Armed Services,Homeland Security,Transportation and Infrastructure,
"Gallego, Ruben",Arizona 7th,D,1218 LHOB,(202) 225-4065,Armed Services,Natural Resources,,
"Garamendi, John",California 3rd,D,2438 RHOB,(202) 225-1880,Armed Services,Transportation and Infrastructure,,
"Garrett, Thomas",Virginia 5th,R,415 CHOB,(202) 225-4711,Education and the Workforce,Foreign Affairs,Homeland Security,
"Gianforte, Greg",Montana At Large,R,1419 LHOB,(202) 225-3211,Oversight and Government Reform,Natural Resources,,
"Gibbs, Bob",Ohio 7th,R,2446 RHOB,(202) 225-6265,Agriculture,Transportation and Infrastructure,,
"Gohmert, Louie",Texas 1st,R,2243 RHOB,(202) 225-3035,Natural Resources,Judiciary,,
"Gomez, Jimmy",California 34th,D,1226 LHOB,(202) 225-6235,Oversight and Government Reform,Natural Resources,,
"Gonzalez, Vicente",Texas 15th,D,113 CHOB,(202) 225-2531,Financial Services,,,
"González-Colón, Jenniffer",Puerto Rico Resident Commissioner,R,1529 LHOB,(202) 225-2615,Natural Resources,Small Business,Veterans' Affairs,
"Goodlatte, Bob",Virginia 6th,R,2309 RHOB,(202) 225-5431,Agriculture,Judiciary,,
"Gosar, Paul A.",Arizona 4th,R,2057 RHOB,(202) 225-2315,Oversight and Government Reform,Natural Resources,,
"Gottheimer, Josh",New Jersey 5th,D,213 CHOB,(202) 225-4465,Financial Services,,,
"Gowdy, Trey",South Carolina 4th,R,2418 RHOB,(202) 225-6030,Oversight and Government Reform,Intelligence,Judiciary,
"Granger, Kay",Texas 12th,R,1026 LHOB,(202) 225-5071,Appropriations,,,
"Graves, Garret",Louisiana 6th,R,430 CHOB,(202) 225-3901,Natural Resources,Transportation and Infrastructure,,
"Graves, Sam",Missouri 6th,R,1135 LHOB,(202) 225-7041,Armed Services,Transportation and Infrastructure,,
"Graves, Tom",Georgia 14th,R,2078 RHOB,(202) 225-5211,Appropriations,,,
"Green, Al",Texas 9th,D,2347 RHOB,(202) 225-7508,Financial Services,,,
"Green, Gene",Texas 29th,D,2470 RHOB,(202) 225-1688,Energy and Commerce,,,
"Griffith, Morgan",Virginia 9th,R,2202 RHOB,(202) 225-3861,Energy and Commerce,,,
"Grijalva, Raul",Arizona 3rd,D,1511 LHOB,(202) 225-2435,Education and the Workforce,Natural Resources,,
"Grothman, Glenn",Wisconsin 6th,R,1217 LHOB,(202) 225-2476,Budget,Education and the Workforce,Oversight and Government Reform,
"Guthrie, S. Brett",Kentucky 2nd,R,2434 RHOB,(202) 225-3501,Education and the Workforce,Energy and Commerce,,
"Gutierrez, Luis",Illinois 4th,D,2408 RHOB,(202) 225-8203,Judiciary,,,
"Hanabusa, Colleen",Hawaii 1st,D,422 CHOB,(202) 225-2726,Armed Services,Natural Resources,"Science, Space, and Technology",
"Handel, Karen C.",Georgia 6th,R,1211 LHOB,(202) 225-4501,Education and the Workforce,Judiciary,,
"Harper, Gregg",Mississippi 3rd,R,2227 RHOB,(202) 225-5031,House Administration,Energy and Commerce,Joint Committee of Congress on the Library,
"Harris, Andy",Maryland 1st,R,1533 LHOB,(202) 225-5311,Appropriations,,,
"Hartzler, Vicky",Missouri 4th,R,2235 RHOB,(202) 225-2876,Agriculture,Armed Services,,
"Hastings, Alcee L.",Florida 20th,D,2353 RHOB,(202) 225-1313,Rules,,,
"Heck, Denny",Washington 10th,D,425 CHOB,(202) 225-9740,Financial Services,Intelligence,,
"Hensarling, Jeb",Texas 5th,R,2228 RHOB,(202) 225-3484,Financial Services,,,
"Herrera Beutler, Jaime",Washington 3rd,R,1107 LHOB,(202) 225-3536,Appropriations,,,
"Hice, Jody",Georgia 10th,R,324 CHOB,(202) 225-4101,Armed Services,Oversight and Government Reform,Natural Resources,
"Higgins, Brian",New York 26th,D,2459 RHOB,(202) 225-3306,Budget,Ways and Means,,
"Higgins, Clay",Louisiana 3rd,R,1711 LHOB,(202) 225-2031,Homeland Security,"Science, Space, and Technology",Veterans' Affairs,
"Hill, French",Arkansas 2nd,R,1229 LHOB,(202) 225-2506,Financial Services,,,
"Himes, Jim",Connecticut 4th,D,1227 LHOB,(202) 225-5541,Financial Services,Intelligence,,
"Holding, George",North Carolina 2nd,R,1110 LHOB,(202) 225-3032,Ways and Means,,,
"Hollingsworth, Trey",Indiana 9th,R,1641 LHOB,(202) 225-5315,Financial Services,,,
"Hoyer, Steny H.",Maryland 5th,D,1705 LHOB,(202) 225-4131,,,,
"Hudson, Richard",North Carolina 8th,R,429 CHOB,(202) 225-3715,Energy and Commerce,,,
"Huffman, Jared",California 2nd,D,1406 LHOB,(202) 225-5161,Natural Resources,Transportation and Infrastructure,,
"Huizenga, Bill",Michigan 2nd,R,2232 RHOB,(202) 225-4401,Financial Services,,,
"Hultgren, Randy",Illinois 14th,R,2455 RHOB,(202) 225-2976,Financial Services,"Science, Space, and Technology",,
"Hunter, Duncan D.",California 50th,R,2429 RHOB,(202) 225-5672,Armed Services,Education and the Workforce,Transportation and Infrastructure,
"Hurd, Will",Texas 23rd,R,317 CHOB,(202) 225-4511,Oversight and Government Reform,Homeland Security,Intelligence,
"Issa, Darrell",California 49th,R,2269 RHOB,(202) 225-3906,Foreign Affairs,Oversight and Government Reform,Judiciary,
"Jackson Lee, Sheila",Texas 18th,D,2187 RHOB,(202) 225-3816,Budget,Homeland Security,Judiciary,
"Jayapal, Pramila",Washington 7th,D,319 CHOB,(202) 225-3106,Budget,Judiciary,,
"Jeffries, Hakeem",New York 8th,D,1607 LHOB,(202) 225-5936,Budget,Judiciary,,
"Jenkins, Evan",West Virginia 3rd,R,1609 LHOB,(202) 225-3452,Appropriations,,,
"Jenkins, Lynn",Kansas 2nd,R,1526 LHOB,(202) 225-6601,Ways and Means,,,
"Johnson, Bill",Ohio 6th,R,1710 LHOB,(202) 225-5705,Budget,Energy and Commerce,,
"Johnson, Eddie Bernice",Texas 30th,D,2468 RHOB,(202) 225-8885,Transportation and Infrastructure,"Science, Space, and Technology",,
"Johnson, Henry C. ""Hank"" Jr.",Georgia 4th,D,2240 RHOB,(202) 225-1605,Judiciary,Transportation and Infrastructure,,
"Johnson, Mike",Louisiana 4th,R,327 CHOB,(202) 225-2777,Natural Resources,Judiciary,,
"Johnson, Sam",Texas 3rd,R,2304 RHOB,(202) 225-4201,Joint Committee on Taxation,Ways and Means,,
"Jones, Walter B.",North Carolina 3rd,R,2333 RHOB,(202) 225-3415,Armed Services,,,
"Jordan, Jim",Ohio 4th,R,2056 RHOB,(202) 225-2676,Oversight and Government Reform,Judiciary,,
"Joyce, David",Ohio 14th,R,1124 LHOB,(202) 225-5731,Appropriations,,,
"Kaptur, Marcy",Ohio 9th,D,2186 RHOB,(202) 225-4146,Appropriations,,,
"Katko, John",New York 24th,R,1620 LHOB,(202) 225-3701,Homeland Security,Transportation and Infrastructure,,
"Keating, William",Massachusetts 9th,D,2351 RHOB,(202) 225-3111,Foreign Affairs,Homeland Security,,
"Kelly, Mike",Pennsylvania 3rd,R,1707 LHOB,(202) 225-5406,Ways and Means,,,
"Kelly, Robin",Illinois 2nd,D,1239 LHOB,(202) 225-0773,Foreign Affairs,Oversight and Government Reform,,
"Kelly, Trent",Mississippi 1st,R,1721 LHOB,(202) 225-4306,Agriculture,Armed Services,Small Business,
"Kennedy III, Joseph P.",Massachusetts 4th,D,434 CHOB,(202) 225-5931,Energy and Commerce,,,
"Khanna, Ro",California 17th,D,513 CHOB,(202) 225-2631,Armed Services,Budget,,
"Kihuen, Ruben J.",Nevada 4th,D,313 CHOB,(202) 225-9894,Financial Services,,,
"Kildee, Daniel",Michigan 5th,D,227 CHOB,(202) 225-3611,Financial Services,,,
"Kilmer, Derek",Washington 6th,D,1520 LHOB,(202) 225-5916,Appropriations,Joint Select Committee on Budget and APPNs Process Reform,,
"Kind, Ron",Wisconsin 3rd,D,1502 LHOB,(202) 225-5506,Ways and Means,,,
"King, Pete",New York 2nd,R,339 CHOB,(202) 225-7896,Financial Services,Homeland Security,Intelligence,
"King, Steve",Iowa 4th,R,2210 RHOB,(202) 225-4426,Agriculture,Judiciary,Small Business,
"Kinzinger, Adam",Illinois 16th,R,2245 RHOB,(202) 225-3635,Foreign Affairs,Energy and Commerce,,
"Knight, Steve",California 25th,R,1023 LHOB,(202) 225-1956,Armed Services,Small Business,"Science, Space, and Technology",
"Krishnamoorthi, Raja",Illinois 8th,D,515 CHOB,(202) 225-3711,Education and the Workforce,Oversight and Government Reform,,
"Kuster, Ann",New Hampshire 2nd,D,137 CHOB,(202) 225-5206,Agriculture,Veterans' Affairs,,
"Kustoff, David",Tennessee 8th,R,508 CHOB,(202) 225-4714,Financial Services,,,
"Labrador, Raul R.",Idaho 1st,R,1523 LHOB,(202) 225-6611,Natural Resources,Judiciary,,
"LaHood,Darin",Illinois 18th,R,1424 LHOB,(202) 225-6201,Ways and Means,,,
"LaMalfa, Doug",California 1st,R,322 CHOB,(202) 225-3076,Agriculture,Natural Resources,Transportation and Infrastructure,
"Lamb, Conor",Pennsylvania 18th,D,2332 RHOB,(202) 225-2301,"Science, Space, and Technology",Veterans' Affairs,,
"Lamborn, Doug",Colorado 5th,R,2402 RHOB,(202) 225-4422,Armed Services,Natural Resources,,
"Lance, Leonard",New Jersey 7th,R,2352 RHOB,(202) 225-5361,Energy and Commerce,Ethics,,
"Langevin, Jim",Rhode Island 2nd,D,2077 RHOB,(202) 225-2735,Armed Services,Homeland Security,,
"Larsen, Rick",Washington 2nd,D,2113 RHOB,(202) 225-2605,Armed Services,Transportation and Infrastructure,,
"Larson, John B.",Connecticut 1st,D,1501 LHOB,(202) 225-2265,Ways and Means,,,
"Latta, Robert E.",Ohio 5th,R,2448 RHOB,(202) 225-6405,Energy and Commerce,,,
"Lawrence, Brenda",Michigan 14th,D,1213 LHOB,(202) 225-5802,Oversight and Government Reform,Transportation and Infrastructure,,
"Lawson, Al",Florida 5th,D,1337 LHOB,(202) 225-0123,Agriculture,Small Business,,
"Lee, Barbara",California 13th,D,2267 RHOB,(202) 225-2661,Appropriations,Budget,,
Lesko Debbie,Arizona 8th,R,2435 RHOB,(202) 225-4576,Homeland Security,"Science, Space, and Technology",,
"Levin, Sander",Michigan 9th,D,1236 LHOB,(202) 225-4961,Ways and Means,,,
"Lewis, Jason",Minnesota 2nd,R,418 CHOB,(202) 225-2271,Budget,Education and the Workforce,Transportation and Infrastructure,
"Lewis, John",Georgia 5th,D,343 CHOB,(202) 225-3801,Joint Committee on Taxation,Ways and Means,,
"Lieu, Ted",California 33rd,D,236 CHOB,(202) 225-3976,Foreign Affairs,Judiciary,,
"Lipinski, Daniel",Illinois 3rd,D,2346 RHOB,(202) 225-5701,Transportation and Infrastructure,"Science, Space, and Technology",,
"LoBiondo, Frank",New Jersey 2nd,R,2427 RHOB,(202) 225-6572,Armed Services,Intelligence,Transportation and Infrastructure,
"Loebsack, David",Iowa 2nd,D,1527 LHOB,(202) 225-6576,Energy and Commerce,,,
"Lofgren, Zoe",California 19th,D,1401 LHOB,(202) 225-3072,House Administration,Joint Committee of Congress on the Library,Judiciary,"Science, Space, and Technology"
"Long, Billy",Missouri 7th,R,2454 RHOB,(202) 225-6536,Energy and Commerce,,,
"Loudermilk, Barry",Georgia 11th,R,329 CHOB,(202) 225-2931,Financial Services,House Administration,Joint Committee of Congress on the Library,"Science, Space, and Technology"
"Love, Mia",Utah 4th,R,217 CHOB,(202) 225-3011,Financial Services,,,
"Lowenthal, Alan",California 47th,D,125 CHOB,(202) 225-7924,Natural Resources,Transportation and Infrastructure,,
"Lowey, Nita",New York 17th,D,2365 RHOB,(202) 225-6506,Appropriations,Joint Select Committee on Budget and APPNs Process Reform,,
"Lucas, Frank",Oklahoma 3rd,R,2405 RHOB,(202) 225-5565,Agriculture,Financial Services,"Science, Space, and Technology",
"Luetkemeyer, Blaine",Missouri 3rd,R,2230 RHOB,(202) 225-2956,Financial Services,Small Business,,
"Lujan, Ben R.",New Mexico 3rd,D,2231 RHOB,(202) 225-6190,Energy and Commerce,,,
"Lujan Grisham, Michelle",New Mexico 1st,D,214 CHOB,(202) 225-6316,Agriculture,Budget,,
"Lynch, Stephen F.",Massachusetts 8th,D,2268 RHOB,(202) 225-8273,Financial Services,Oversight and Government Reform,,
