NAME,ACLU_SCORE,DISTRICT
REP. LISA BLUNT ROCHESTER,79%,(D-DE-1)
REP. MATT GAETZ,9%,(R-FL-1)
REP. NEAL DUNN,4%,(R-FL-2)
"REP. THEODORE ""TED"" YOHO",15%,(R-FL-3)
REP. JOHN RUTHERFORD,3%,(R-FL-4)
"REP. ALFRED ""AL"" LAWSON",67%,(D-FL-5)
REP. RON DESANTIS,6%,(R-FL-6)
REP. STEPHANIE MURPHY,64%,(D-FL-7)
REP. BILL POSEY,17%,(R-FL-8)
REP. DARREN SOTO,86%,(D-FL-9)
"REP. VALDEZ ""VAL"" DEMINGS",69%,(D-FL-10)
"REP. DANIEL ""DAN"" WEBSTER",15%,(R-FL-11)
REP. GUS BILIRAKIS,4%,(R-FL-12)
"REP. CHARLES ""CHARLIE"" CRIST",69%,(D-FL-13)
REP. KATHY CASTOR,75%,(D-FL-14)
REP. DENNIS ROSS,4%,(R-FL-15)
REP. VERN BUCHANAN,7%,(R-FL-16)
REP. TOM ROONEY,4%,(R-FL-17)
REP. BRIAN MAST,14%,(R-FL-18)
REP. FRANCIS ROONEY,4%,(R-FL-19)
REP. ALCEE HASTINGS,92%,(D-FL-20)
REP. LOIS FRANKEL,83%,(D-FL-21)
REP. TED DEUTCH,77%,(D-FL-22)
REP. DEBBIE WASSERMAN SCHULTZ,77%,(D-FL-23)
"REP. FREDERICA ""FREDDI"" WILSON",88%,(D-FL-24)
REP. MARIO DIAZ-BALART,13%,(R-FL-25)
REP. CARLOS CURBELO,24%,(R-FL-26)
REP. ILEANA ROS-LEHTINEN,33%,(R-FL-27)
REP. BUDDY CARTER,4%,(R-GA-1)
REP. SANFORD BISHOP,77%,(D-GA-2)
REP. DREW FERGUSON,4%,(R-GA-3)
REP. HANK JOHNSON,82%,(D-GA-4)
REP. JOHN LEWIS,89%,(D-GA-5)
REP. KAREN HANDEL,0%,(R-GA-6)
REP. ROB WOODALL,7%,(R-GA-7)
REP. AUSTIN SCOTT,4%,(R-GA-8)
REP. DOUG COLLINS,3%,(R-GA-9)
REP. JODY HICE,11%,(R-GA-10)
REP. BARRY LOUDERMILK,22%,(R-GA-11)
REP. RICK ALLEN,7%,(R-GA-12)
REP. DAVID SCOTT,82%,(D-GA-13)
REP. TOM GRAVES,7%,(R-GA-14)
REP. COLLEEN HANABUSA,85%,(D-HI-1)
REP. TULSI GABBARD,88%,(D-HI-2)
"REP. RODNEY ""ROD"" BLUM",14%,(R-IA-1)
REP. DAVE LOEBSACK,79%,(D-IA-2)
REP. DAVID YOUNG,7%,(R-IA-3)
REP. STEVE KING,9%,(R-IA-4)
REP. RAUL LABRADOR,21%,(R-ID-1)
REP. MIKE SIMPSON,4%,(R-ID-2)
REP. BOBBY RUSH,90%,(D-IL-1)
REP. ROBIN KELLY,86%,(D-IL-2)
"REP. DANIEL ""DAN"" LIPINSKI",46%,(D-IL-3)
REP. LUIS GUTIERREZ,89%,(D-IL-4)
REP. MIKE QUIGLEY,75%,_(D-IL-5)
REP. PETER ROSKAM,7%,(R-IL-6)
REP. DANNY DAVIS,88%,(D-IL-7)
REP. RAJA KRISHNAMOORTHI,79%,(D-IL-8)
REP. JAN SCHAKOWSKY,89%,(D-IL-9)
"REP. BRADLEY ""BRAD"" SCHNEIDER",77%,(D-IL-10)
REP. BILL FOSTER,82%,(D-IL-11)
REP. MIKE BOST,7%,(R-IL-12)
REP. RODNEY DAVIS,7%,(R-IL-13)
REP. RANDY HULTGREN,4%,(R-IL-14)
REP. JOHN SHIMKUS,4%,(R-IL-15)
REP. ADAM KINZINGER,4%,(R-IL-16)
REP. CHERI BUSTOS,75%,(D-IL-17)
REP. DARIN LAHOOD,7%,(R-IL-18)
REP. PETE VISCLOSKY,86%,(D-IN-1)
REP. JACKIE WALORSKI,4%,(R-IN-2)
REP. JIM BANKS,7%,(R-IN-3)
REP. TODD ROKITA,15%,(R-IN-4)
REP. SUSAN BROOKS,4%,(R-IN-5)
REP. LUKE MESSER,7%,(R-IN-6)
REP. ANDRE CARSON,83%,(D-IN-7)
REP. LARRY BUCSHON,4%,(R-IN-8)
REP. TREY HOLLINGSWORTH,7%,(R-IN-9)
REP. ROGER MARSHALL,4%,(R-KS-1)
REP. LYNN JENKINS,7%,(R-KS-2)
REP. KEVIN YODER,18%,(R-KS-3)
REP. RON ESTES,0%,(R-KS-4)
REP. JAMES COMER,14%,(R-KY-1)
REP. BRETT GUTHRIE,4%,(R-KY-2)
REP. JOHN YARMUTH,89%,(D-KY-3)
REP. THOMAS MASSIE,36%,(R-KY-4)
REP. HAL ROGERS,4%,(R-KY-5)
REP. ANDY BARR,4%,(R-KY-6)
REP. STEVE SCALISE,6%,(R-LA-1)
REP. CEDRIC RICHMOND,85%,(D-LA-2)
"REP. CLAY ""CAPTAIN""HIGGINS",7%,(R-LA-3)
REP. MIKE JOHNSON,9%,(R-LA-4)
REP. RALPH ABRAHAM,7%,(R-LA-5)
REP. GARRET GRAVES,18%,(R-LA-6)
"REP. RICHARD ""RICHIE"" NEAL",82%,(D-MA-1)
REP. JIM MCGOVERN,89%,(D-MA-2)
REP. NIKI TSONGAS,86%,(D-MA-3)
REP. JOE KENNEDY,89%,(D-MA-4)
REP. KATHERINE CLARK,92%,(D-MA-5)
REP. SETH MOULTON,82%,(D-MA-6)
"REP. MICHAEL ""MIKE"" CAPUANO",89%,(D-MA-7)
"REP. STEPHEN ""STEVE"" LYNCH",78%,(D-MA-8)
REP. BILL KEATING,75%,(D-MA-9)
REP. ANDY HARRIS,14%,(R-MD-1)
REP. DUTCH RUPPERSBERGER,71%,(D-MD-2)
REP. JOHN SARBANES,86%,(D-MD-3)
REP. ANTHONY BROWN,81%,(D-MD-4)
REP. STENY HOYER,82%,(D-MD-5)
REP. JOHN DELANEY,75%,(D-MD-6)
REP. ELIJAH CUMMINGS,88%,(D-MD-7)
REP. JAMIE RASKIN,91%,(D-MD-8)
REP. CHELLIE PINGREE,92%,(D-ME-1)
REP. BRUCE POLIQUIN,7%,(R-ME-2)
"REP. JOHN ""JACK"" BERGMAN",11%,(R-MI-1)
REP. BILL HUIZENGA,4%,(R-MI-2)
REP. JUSTIN AMASH,54%,(R-MI-3)
REP. JOHN MOOLENAAR,4%,(R-MI-4)
REP. DAN KILDEE,86%,(D-MI-5)
REP. FRED UPTON,7%,(R-MI-6)
REP. TIM WALBERG,4%,(R-MI-7)
"REP. MICHAEL ""MIKE"" BISHOP",4%,(R-MI-8)
REP. SANDY LEVIN,86%,(D-MI-9)
REP. PAUL MITCHELL,7%,(R-MI-10)
"REP. DAVID ""DAVE"" TROTT",8%,(R-MI-11)
REP. DEBBIE DINGELL,86%,(D-MI-12)
VACANT,,(MI-13)
REP. BRENDA LAWRENCE,86%,(D-MI-14)
REP. TIM WALZ,92%,(D-MN-1)
REP. JASON LEWIS,25%,(R-MN-2)
REP. ERIK PAULSEN,7%,(R-MN-3)
REP. BETTY MCCOLLUM,86%,(D-MN-4)
REP. KEITH ELLISON,89%,(D-MN-5)
"REP. THOMAS ""TOM"" EMMER",18%,(R-MN-6)
REP. COLLIN PETERSON,42%,(D-MN-7)
REP. RICK NOLAN,88%,(D-MN-8)
REP. LACY CLAY,89%,(D-MO-1)
REP. ANN WAGNER,4%,(R-MO-2)
REP. BLAINE LUETKEMEYER,4%,(R-MO-3)
REP. VICKY HARTZLER,4%,(R-MO-4)
REP. EMANUEL CLEAVER,87%,(D-MO-5)
REP. SAM GRAVES,4%,(R-MO-6)
REP. BILLY LONG,8%,(R-MO-7)
REP. JASON SMITH,11%,(R-MO-8)
REP. TRENT KELLY,14%,(R-MS-1)
REP. BENNIE THOMPSON,81%,(D-MS-2)
REP. GREGG HARPER,7%,(R-MS-3)
REP. STEVEN PALAZZO,4%,(R-MS-4)
REP. GREG GIANFORTE,11%,(R-MT-1)
REP. G.K. BUTTERFIELD,85%,(D-NC-1)
REP. GEORGE HOLDING,7%,(R-NC-2)
REP. WALTER JONES,27%,(R-NC-3)
REP. DAVID PRICE,86%,(D-NC-4)
REP. VIRGINIA FOXX,4%,(R-NC-5)
REP. MARK WALKER,4%,(R-NC-6)
REP. DAVID ROUZER,7%,(R-NC-7)
REP. RICHARD HUDSON,4%,(R-NC-8)
REP. ROBERT PITTENGER,4%,(R-NC-9)
REP. PATRICK MCHENRY,4%,(R-NC-10)
REP. MARK MEADOWS,19%,(R-NC-11)
REP. ALMA ADAMS,85%,(D-NC-12)
REP. TED BUDD,14%,(R-NC-13)
REP. KEVIN CRAMER,4%,(R-ND-1)
REP. JEFF FORTENBERRY,7%,(R-NE-1)
REP. DON BACON,7%,(R-NE-2)
REP. ADRIAN SMITH,4%,(R-NE-3)
REP. CAROL SHEA-PORTER,86%,(D-NH-1)
"REP. ANN ""ANNIE"" ""KUSTER",74%,(D-NH-2)
REP. DONALD NORCROSS,79%,(D-NJ-1)
REP. FRANK LOBIONDO,18%,(R-NJ-2)
"REP. THOMAS ""TOM"" MACARTHUR",11%,(R-NJ-3)
REP. CHRIS SMITH,19%,(R-NJ-4)
REP. JOSH GOTTHEIMER,64%,(D-NJ-5)
REP. FRANK PALLONE,93%,(D-NJ-6)
REP. LEONARD LANCE,14%,(R-NJ-7)
REP. ALBIO SIRES,74%,(D-NJ-8)
REP. BILL PASCRELL,78%,(D-NJ-9)
REP. DONALD PAYNE,93%,(D-NJ-10)
REP. RODNEY FRELINGHUYSEN,11%,(R-NJ-11)
REP. BONNIE WATSON COLEMAN,96%,(D-NJ-12)
REP. MICHELLE LUJAN GRISHAM,86%,(D-NM-1)
REP. STEVE PEARCE,15%,(R-NM-2)
"REP. BEN ""BEN RAY"" LUJAN",89%,(D-NM-3)
REP. DINA TITUS,89%,(D-NV-1)
REP. MARK AMODEI,4%,(R-NV-2)
"REP. JACKLYN ""JACKY"" ROSEN",67%,(D-NV-3)
REP. RUBEN KIHUEN,85%,(D-NV-4)
REP. LEE ZELDIN,14%,(R-NY-1)
REP. PETE KING,3%,(R-NY-2)
"REP. THOMAS ""TOM"" SUOZZI",77%,(D-NY-3)
REP. KATHLEEN RICE,75%,(D-NY-4)
REP. GREGORY MEEKS,81%,(D-NY-5)
REP. GRACE MENG,81%,(D-NY-6)
REP. NYDIA VELAZQUEZ,96%,(D-NY-7)
REP. HAKEEM JEFFRIES,83%,(D-NY-8)
REP. YVETTE CLARKE,93%,(D-NY-9)
REP. JERRY NADLER,86%,(D-NY-10)
"REP. DANIEL ""DAN"" DONOVAN",7%,(R-NY-11)
REP. CAROLYN MALONEY,89%,(D-NY-12)
REP. ADRIANO ESPAILLAT,89%,(D-NY-13)
"REP. JOSEPH ""JOE"" CROWLEY",89%,(D-NY-14)
REP. JOSE SERRANO,89%,(D-NY-15)
REP. ELIOT ENGEL,93%,(D-NY-16)
REP. NITA LOWEY,79%,(D-NY-17)
REP. SEAN MALONEY,75%,(D-NY-18)
REP. JOHN FASO,18%,(R-NY-19)
REP. PAUL TONKO,89%,(D-NY-20)
REP. ELISE STEFANIK,14%,(R-NY-21)
REP. CLAUDIA TENNEY,7%,(R-NY-22)
REP. TOM REED,15%,(R-NY-23)
REP. JOHN KATKO,22%,(R-NY-24)
VACANT,,(NY-25)
REP. BRIAN HIGGINS,67%,(D-NY-26)
REP. CHRIS COLLINS,7%,(R-NY-27)
REP. STEVE CHABOT,3%,(R-OH-1)
REP. BRAD WENSTRUP,3%,(R-OH-2)
REP. JOYCE BEATTY,86%,(D-OH-3)
REP. JIM JORDAN,21%,(R-OH-4)
REP. BOB LATTA,7%,(R-OH-5)
REP. BILL JOHNSON,4%,(R-OH-6)
REP. BOB GIBBS,4%,(R-OH-7)
REP. WARREN DAVIDSON,26%,(R-OH-8)
REP. MARCY KAPTUR,79%,(D-OH-9)
"REP. MICHAEL ""MIKE"" TURNER",14%,_ (R-OH-10)
REP. MARCIA FUDGE,85%,(D-OH-11)
VACANT,,(OH-12)
REP. TIM RYAN,86%,(D-OH-13)
REP. DAVE JOYCE,14%,(R-OH-14)
REP. STEVE STIVERS,8%,(R-OH-15)
REP. JIM RENACCI,7%,(R-OH-16)
VACANT,11%,(OK-01)
REP. MARKWAYNE MULLIN,7%,(R-OK-2)
REP. FRANK LUCAS,4%,(R-OK-3)
REP. TOM COLE,4%,(R-OK-4)
REP. STEVE RUSSELL,12%,(R-OK-5)
REP. SUZANNE BONAMICI,86%,(D-OR-1)
REP. GREG WALDEN,7%,(R-OR-2)
REP. EARL BLUMENAUER,93%,(D-OR-3)
REP. PETE DEFAZIO,79%,(D-OR-4)
REP. KURT SCHRADER,75%,(D-OR-5)
"REP. ROBERT ""BOB"" BRADY",86%,(D-PA-1)
REP. DWIGHT EVANS,86%,(D-PA-2)
REP. MIKE KELLY,7%,(R-PA-3)
REP. SCOTT PERRY,21%,(R-PA-4)
"REP. GLENN ""G.T."" THOMPSON",7%,(R-PA-5)
REP. RYAN COSTELLO,21%,(R-PA-6)
VACANT,23%,(PA-7)
REP. BRIAN FITZPATRICK,29%,(R-PA-8)
REP. BILL SHUSTER,7%,(R-PA-9)
REP. TOM MARINO,3%,(R-PA-10)
REP. LOU BARLETTA,7%,(R-PA-11)
REP. KEITH ROTHFUS,7%,(R-PA-12)
REP. BRENDAN BOYLE,82%,(D-PA-13)
REP. MIKE DOYLE,86%,(D-PA-14)
VACANT,27%,(PA-15)
REP. LLOYD SMUCKER,7%,(R-PA-16)
"REP. MATTHEW ""MATT"" CARTWRIGHT",61%,(D-PA-17)
REP. CONOR LAMB,n/a,(D-PA-18)
REP. DAVID CICILLINE,85%,(D-RI-1)
REP. JIM LANGEVIN,68%,(D-RI-2)
REP. MARK SANFORD,37%,(R-SC-1)
REP. JOE WILSON,4%,(R-SC-2)
REP. JEFF DUNCAN,19%,(R-SC-3)
REP. TREY GOWDY,3%,(R-SC-4)
REP. RALPH NORMAN,17%,(R-SC-5)
"REP. JAMES ""JIM"" CLYBURN",79%,(D-SC-6)
REP. TOM RICE,7%,(R-SC-7)
REP. KRISTI NOEM,7%,(R-SD-1)
REP. PHIL ROE,7%,(R-TN-1)
"REP. JOHN ""JIMMY"" DUNCAN",25%,(R-TN-2)
REP. CHUCK FLEISCHMANN,4%,(R-TN-3)
REP. SCOTT DESJARLAIS,11%,(R-TN-4)
REP. JIM COOPER,68%,(D-TN-5)
REP. DIANE BLACK,12%,(R-TN-6)
REP. MARSHA BLACKBURN,11%,(R-TN-7)
REP. DAVID KUSTOFF,4%,(R-TN-8)
REP. STEVE COHEN,88%,(D-TN-9)
REP. LOUIE GOHMERT,16%,(R-TX-1)
REP. TED POE,15%,(R-TX-2)
REP. SAM JOHNSON,4%,(R-TX-3)
REP. JOHN RATCLIFFE,6%,(R-TX-4)
REP. JEB HENSARLING,4%,(R-TX-5)
REP. JOE BARTON,11%,(R-TX-6)
REP. JOHN CULBERSON,4%,(R-TX-7)
REP. KEVIN BRADY,4%,(R-TX-8)
REP. AL GREEN,86%,(D-TX-9)
REP. MICHAEL MCCAUL,4%,(R-TX-10)
REP. MIKE CONAWAY,3%,(R-TX-11)
REP. KAY GRANGER,4%,(R-TX-12)
REP. MAC THORNBERRY,4%,(R-TX-13)
REP. RANDY WEBER,14%,(R-TX-14)
REP. VICENTE GONZALEZ,82%,(D-TX-15)
REP. BETO O'ROURKE,82%,(D-TX-16)
REP. BILL FLORES,4%,(R-TX-17)
REP. SHEILA JACKSON LEE,88%,(D-TX-18)
REP. JODEY ARRINGTON,4%,(R-TX-19)
REP. JOAQUIN CASTRO,86%,_(D-TX-20)
REP. LAMAR SMITH,3%,(R-TX-21)
REP. PETE OLSON,4%,(R-TX-22)
REP. WILL HURD,7%,(R-TX-23)
"REP. KENNY ""KEN"" MARCHANT",4%,(R-TX-24)
REP. ROGER WILLIAMS,14%,(R-TX-25)
"REP. MICHAEL ""MIKE"" BURGESS",11%,(R-TX-26)
VACANT,,(TX-27)
REP. HENRY CUELLAR,43%,(D-TX-28)
REP. GENE GREEN,82%,(D-TX-29)
REP. EDDIE JOHNSON,89%,(D-TX-30)
REP. JOHN CARTER,4%,(R-TX-31)
REP. PETE SESSIONS,4%,(R-TX-32)
REP. MARC VEASEY,86%,(D-TX-33)
REP. FILEMON VELA,82%,(D-TX-34)
REP. LLOYD DOGGETT,89%,(D-TX-35)
REP. BRIAN BABIN,12%,(R-TX-36)
REP. ROB BISHOP,11%,(R-UT-1)
REP. CHRIS STEWART,7%,(R-UT-2)
REP. JOHN CURTIS,25%,(R-UT-3)
REP. MIA LOVE,7%,(R-UT-4)
REP. ROB WITTMAN,11%,(R-VA-1)
REP. SCOTT TAYLOR,4%,(R-VA-2)
REP. BOBBY SCOTT,93%,(D-VA-3)
REP. A. DONALD MCEACHIN,77%,(D-VA-4)
"REP. THOMAS ""TOM"" GARRETT",26%,(R-VA-5)
REP. BOB GOODLATTE,3%,(R-VA-6)
REP. DAVE BRAT,21%,(R-VA-7)
REP. DON BEYER,93%,(D-VA-8)
REP. MORGAN GRIFFITH,21%,(R-VA-9)
REP. BARBARA COMSTOCK,19%,(R-VA-10)
REP. GERRY CONNOLLY,86%,(D-VA-11)
REP. PETER WELCH,86%,(D-VT-1)
REP. SUZAN DELBENE,86%,(D-WA-1)
REP. RICK LARSEN,86%,(D-WA-2)
REP. JAIME HERRERA BEUTLER,18%,(R-WA-3)
REP. DAN NEWHOUSE,12%,(R-WA-4)
REP. CATHY MCMORRIS RODGERS,11%,(R-WA-5)
REP. DEREK KILMER,79%,(D-WA-6)
REP. PRAMILA JAYAPAL,97%,(D-WA-7)
REP. DAVE REICHERT,26%,(R-WA-8)
REP. ADAM SMITH,96%,(D-WA-9)
REP. DENNY HECK,79%,(D-WA-10)
REP. PAUL RYAN,0%,(R-WI-1)
REP. MARK POCAN,93%,(D-WI-2)
REP. RON KIND,81%,(D-WI-3)
REP. GWEN MOORE,93%,(D-WI-4)
REP. JIM SENSENBRENNER,17%,(R-WI-5)
REP. GLENN GROTHMAN,11%,(R-WI-6)
REP. SEAN DUFFY,7%,(R-WI-7)
"REP. MICHAEL ""MIKE"" GALLAGHER",4%,(R-WI-8)
REP. DAVID MCKINLEY,4%,(R-WV-1)
REP. ALEX MOONEY,18%,(R-WV-2)
REP. EVAN JENKINS,4%,(R-WV-3)
REP. LIZ CHENEY,4%,(R-WY-1)
